EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,HireDate,Salary,SalaryHistory,PerformanceRating,WorkLifeBalance,JobSatisfaction,DistanceFromHome,Overtime,NumCompaniesWorked,YearsSincePromotion,LastPromotionDate,TrainingHoursLastYear,ManagerID,EmployeeStatus,Attrition
EMP_0140,25.0,female,Married,MA,Marketing,Marketing Analyst,03/11/2019,54113.0,"44434,46957",5.0,3.0,4,6,No,2,2.461659386681327,2022-06-04,11,,Terminated,1
EMP_1241,31.0,Female,single,Master,Finance,Accountant,01/15/2016,55770.0,,2.0,4.0,5,3,Y,0,4.1545217836113135,2020-01-15,0,MGR_030,Active,0
EMP_0128,30.0,F,Single,Bachelor,sales,Account Manager,"June 17, 2022",71495.0,,6.0,5.0,High,15,No,2,5.01875367991905,2021-04-19,8,MGR_014,Resigned,1
EMP_1590,35.0,female,married,MA,Sales,Sales Rep,31-01-2022,59345.0,"42817,45915,50861",3.0,4.0,3,3,No,2,0.22241791534508487,2019-02-18,0,MGR_164,Active,0
EMP_0103,32.0,male,married,Bachelor,Operations,Ops Analyst,2023-01-26,75923.0,"50196,58260,67656",3.0,4.0,2,25,Yes,1,0.35169668302559315,2019-12-06,20,,Terminated,1
EMP_0579,23.0,Male,Single,High School,R&D,Research Scientist,"July 30, 2014",95861.0,,3.0,4.0,3,11,No,3,7.1671622173920815,2015-07-18,6,,Active,0
EMP_0020,23.0,Male,single,High School,Marketing,Marketing Specialist,06/18/2015,38062.0,34544,4.0,4.0,3,11,No,4,,2021-05-15,7,,Active,0
EMP_0518,27.0,male,Divorced,MA,HR,HR Manager,18-03-2021,65567.0,58783,4.0,3.0,4,20,Y,0,1.1162664597168128,2023-09-16,0,MGR_169,Active,0
EMP_0706,39.0,Male,Single,nan,Sales,Sales Representative,05/02/2019,40451.0,,3.0,4.0,3,8,No,2,0.03562376844211675,2019-09-03,45,MGR_045,Terminated,1
EMP_0233,35.0,male,Married,High School,Customer Service,CS Manager,"April 13, 2013",71053.0,"55805,62754",2.0,2.0,3,Near,No,0,3.628328759931801,2020-02-21,24,MGR_033,Resigned,1
EMP_1262,35.0,Male,Married,Masters,HR,HR Generalist,"May 10, 2020",52764.0,"42365,47463",4.0,,Medium,6,No,3,2.0323905108351497,,3,MGR_038,Active,0
EMP_0743,30.0,Male,Single,Bachelors,HR,HR Manager,07/01/2010,73190.0,63266,3.0,2.0,2,,TRUE,6,0.4843088623611876,2019-12-11,34,MGR_075,Terminated,1
EMP_0294,41.0,Male,Single,BA,sales,Sales Rep,2023-13-45,50031.0,"30164,35193,40016,43162",5.0,4.0,3,13,Yes,2,1.6056184614559612,2018-11-05,11,MGR_169,Active,0
EMP_1646,38.0,Male,M,Bachelor,Engineering,Senior Engineer,12/14/2016,101653.0,,2.0,4.0,1,1,No,2,,2016-07-01,29,MGR_149,Terminated,1
EMP_1339,31.0,M,single,High School,Engineering,Engineering Manager,"February 28, 2010",152253.0,"104822,121746,137922",5.0,,3,1,No,1,-3.571563794442917,,10,MGR_045,Active,0
EMP_0690,38.0,male,married,High School,Finance,Senior Analyst,"February 19, 2015",71715.0,62883,2.0,5.0,High,23,No,2,,2021-06-14,14,MGR_004,Active,0
EMP_0326,25.0,female,married,High School,Sales,Sales Representative,2012-06-06,52934.0,"35141,38270,43714,47557",3.0,4.0,High,1,Yes,2,3.647956867345943,2021-07-03,3,MGR_155,Active,0
EMP_1862,41.0,M,Divorced,BS,Operations,Operations Manager,03/29/2010,58878.0,"35987,41906,49085,52205",3.0,4.0,Very High,28,Yes,3,2.384252201387446,,41,MGR_141,Active,0
EMP_0873,23.0,M,Single,Master,Finance,Finance Manager,04/15/2020,85847.0,76023,6.0,5.0,3,11,No,2,1.4909934517590944,2024-11-05,57,MGR_130,Retired,1
EMP_0532,21.0,female,D,Bachelors,HR,HR Manager,2022-06-06,100076.0,93383,4.0,2.0,4,9,No,2,2.723053560519691,2022-02-11,6,MGR_122,Active,0
EMP_0480,43.0,Female,married,Masters,Marketing,Marketing Analyst,"October 21, 2012",60910.0,,5.0,3.0,4,2,Yes,4,,2020-01-15,15,MGR_151,Resigned,1
EMP_1275,44.0,F,Married,Bachelor,Finance,Senior Analyst,03/22/2015,72898.0,"57892,62567,66236",4.0,4.0,4,,0,2,1.2411781332197849,2023-07-23,18,MGR_043,Terminated,1
