EmployeeID,Department,Tenure,ManagerRating,WorkLifeBalance,GrowthOpportunities,SalarySatisfaction,OverallSatisfaction,WillStayNextYear
1,Tech,1.0,2.0,2.0,1.0,2.0,3,1
2,Operations,9.7,5.0,3.0,1.0,3.0,3,1
3,Sales,5.1,5.0,2.0,1.0,5.0,4,1
4,Tech,7.9,3.0,2.0,5.0,3.0,4,0
5,Tech,13.7,4.0,3.0,4.0,5.0,4,1
6,Operations,4.1,4.0,5.0,5.0,3.0,4,0
7,Sales,6.5,4.0,5.0,4.0,4.0,5,1
8,Sales,11.5,5.0,2.0,5.0,5.0,4,1
9,Tech,3.8,5.0,3.0,5.0,4.0,5,1
10,HR,1.6,5.0,2.0,3.0,2.0,3,1
11,Tech,4.7,2.0,4.0,5.0,3.0,4,1
12,Tech,2.8,3.0,4.0,2.0,2.0,2,0
13,Tech,14.0,5.0,2.0,3.0,2.0,3,1
14,Tech,12.2,3.0,5.0,5.0,2.0,3,0
15,Operations,9.7,3.0,5.0,1.0,2.0,3,0
16,Sales,13.1,,,,,4,1
17,Operations,12.2,2.0,2.0,2.0,2.0,1,0
18,Operations,3.2,5.0,4.0,2.0,3.0,5,1
19,Operations,13.4,4.0,5.0,3.0,3.0,4,0
20,Tech,8.3,4.0,2.0,5.0,4.0,4,1
21,HR,12.2,5.0,4.0,5.0,5.0,5,1
22,Sales,13.5,3.0,5.0,1.0,5.0,3,1
23,HR,5.1,4.0,3.0,1.0,3.0,4,1
24,Operations,2.1,3.0,4.0,2.0,4.0,3,0
25,Operations,3.8,2.0,5.0,1.0,3.0,3,1
26,HR,6.7,3.0,5.0,3.0,3.0,4,1
27,HR,12.4,2.0,4.0,5.0,3.0,3,1
28,HR,13.0,3.0,3.0,2.0,4.0,3,1
29,Operations,0.6,4.0,4.0,1.0,5.0,3,1
30,Operations,7.9,4.0,5.0,3.0,4.0,3,1
31,Sales,6.6,,,,,3,1
32,Sales,3.7,5.0,2.0,1.0,4.0,2,1
33,Operations,2.2,2.0,4.0,5.0,4.0,4,1
34,HR,5.4,2.0,5.0,1.0,4.0,2,1
35,HR,14.2,3.0,2.0,2.0,4.0,3,1
36,Sales,5.2,3.0,5.0,1.0,5.0,4,1
37,Operations,8.0,2.0,4.0,3.0,2.0,3,1
38,Sales,10.7,4.0,2.0,1.0,5.0,3,1
39,Sales,5.8,3.0,5.0,5.0,5.0,4,1
40,Tech,14.6,5.0,2.0,4.0,4.0,4,1
41,Tech,14.5,3.0,4.0,1.0,3.0,2,1
42,Tech,4.2,3.0,5.0,5.0,3.0,4,0
43,HR,7.7,5.0,2.0,5.0,5.0,4,0
44,Operations,4.9,2.0,4.0,3.0,5.0,3,0
45,Operations,4.6,5.0,2.0,5.0,4.0,4,1
46,Operations,1.0,,,,,4,0
47,Operations,9.3,2.0,3.0,5.0,4.0,3,0
48,Tech,7.8,2.0,3.0,5.0,3.0,3,0
49,HR,1.2,5.0,4.0,2.0,3.0,3,0
50,HR,4.5,2.0,3.0,2.0,2.0,3,0
51,Tech,13.7,4.0,4.0,3.0,3.0,3,1
52,HR,4.0,5.0,3.0,1.0,5.0,4,1
53,Tech,2.6,4.0,2.0,5.0,3.0,4,1
54,Operations,7.6,2.0,4.0,1.0,4.0,3,0
55,Tech,14.8,3.0,4.0,1.0,3.0,2,0
56,Operations,4.0,2.0,2.0,3.0,2.0,2,0
57,Operations,10.2,4.0,4.0,5.0,3.0,3,1
58,Sales,11.5,4.0,4.0,5.0,4.0,3,1
59,Tech,3.9,5.0,3.0,4.0,4.0,4,0
60,Sales,11.1,3.0,4.0,1.0,5.0,3,1
61,Tech,5.8,5.0,5.0,1.0,3.0,4,1
62,Tech,9.7,4.0,2.0,2.0,4.0,2,1
63,Sales,9.7,2.0,3.0,4.0,2.0,3,1
64,Sales,8.3,3.0,3.0,2.0,5.0,3,1
65,Tech,1.8,2.0,5.0,2.0,2.0,2,0
66,HR,12.6,2.0,2.0,2.0,3.0,2,1
67,Operations,5.2,3.0,2.0,3.0,3.0,3,0
68,Sales,3.2,5.0,3.0,3.0,3.0,3,0
69,Operations,1.1,2.0,4.0,2.0,5.0,3,0
70,HR,9.1,,,,,4,0
71,HR,10.3,2.0,2.0,1.0,5.0,3,1
72,HR,0.7,3.0,5.0,4.0,2.0,4,1
73,Sales,7.9,3.0,3.0,5.0,5.0,3,0
74,HR,3.8,3.0,2.0,3.0,2.0,3,1
75,Sales,9.9,5.0,3.0,1.0,5.0,3,1
76,HR,3.0,2.0,4.0,1.0,4.0,2,1
77,Operations,10.5,5.0,3.0,5.0,2.0,3,1
78,Operations,6.1,5.0,3.0,5.0,3.0,3,1
79,Tech,14.1,3.0,2.0,2.0,3.0,2,1
80,Operations,2.5,3.0,2.0,3.0,5.0,4,1
81,Tech,5.4,5.0,2.0,3.0,3.0,5,1
82,Operations,2.1,2.0,3.0,4.0,2.0,3,1
83,Sales,13.9,4.0,4.0,2.0,3.0,4,1
84,Operations,13.2,5.0,5.0,2.0,4.0,4,1
85,Tech,4.2,2.0,5.0,2.0,4.0,2,1
86,Tech,10.1,3.0,2.0,2.0,5.0,3,0
87,HR,12.3,3.0,2.0,3.0,2.0,3,0
88,Sales,8.6,2.0,3.0,3.0,4.0,4,1
89,Operations,8.2,4.0,5.0,2.0,4.0,3,0
90,HR,4.0,3.0,2.0,4.0,2.0,4,1
91,Operations,1.8,3.0,4.0,1.0,3.0,3,1
92,Operations,13.5,3.0,4.0,1.0,3.0,3,1
93,HR,13.6,2.0,2.0,4.0,5.0,3,1
94,HR,9.7,5.0,2.0,2.0,3.0,3,0
95,HR,5.4,3.0,5.0,3.0,2.0,3,1
96,HR,5.6,,,,,4,1
97,HR,11.0,4.0,3.0,5.0,3.0,4,1
98,Operations,60.0,3.0,5.0,5.0,5.0,4,1
99,HR,13.4,3.0,4.0,4.0,3.0,4,1
100,Sales,11.8,4.0,4.0,2.0,2.0,3,1
101,Tech,9.8,3.0,2.0,1.0,5.0,2,1
102,HR,1.7,5.0,5.0,2.0,3.0,4,1
103,HR,2.8,2.0,3.0,1.0,5.0,2,0
104,Operations,13.5,5.0,4.0,4.0,2.0,4,1
105,HR,9.3,2.0,4.0,4.0,4.0,3,1
106,HR,0.6,2.0,3.0,5.0,2.0,2,0
107,HR,2.0,5.0,3.0,2.0,2.0,2,1
108,Operations,10.1,5.0,4.0,5.0,2.0,5,1
109,HR,0.6,5.0,4.0,2.0,2.0,4,1
110,Tech,2.8,5.0,3.0,5.0,4.0,4,1
111,Operations,8.5,4.0,4.0,3.0,4.0,5,1
112,Tech,10.5,3.0,2.0,3.0,5.0,3,1
113,Operations,10.0,2.0,2.0,3.0,3.0,3,0
114,HR,3.8,5.0,3.0,3.0,4.0,4,1
115,Tech,10.8,5.0,5.0,1.0,4.0,3,0
116,Operations,3.9,,,,,3,0
117,Sales,5.2,4.0,3.0,4.0,4.0,3,1
118,HR,11.3,5.0,5.0,4.0,2.0,4,1
119,Operations,9.9,5.0,5.0,1.0,2.0,4,1
120,Sales,12.8,5.0,5.0,3.0,3.0,4,1
121,Operations,10.0,3.0,2.0,3.0,5.0,3,0
122,Sales,8.7,4.0,4.0,3.0,5.0,4,1
123,HR,1.9,5.0,2.0,5.0,3.0,4,0
124,Tech,5.8,2.0,4.0,2.0,3.0,3,1
125,Sales,4.3,2.0,2.0,5.0,2.0,2,1
126,Operations,4.0,2.0,4.0,2.0,5.0,4,0
127,HR,14.6,4.0,2.0,3.0,4.0,3,1
128,Sales,6.2,4.0,5.0,3.0,2.0,4,1
129,Operations,13.4,,,,,4,0
130,Operations,9.7,5.0,2.0,5.0,5.0,4,1
131,Operations,12.0,4.0,4.0,2.0,4.0,4,1
132,Sales,7.8,2.0,5.0,4.0,4.0,3,1
133,Sales,8.9,2.0,2.0,2.0,2.0,2,0
134,Sales,7.6,5.0,2.0,5.0,5.0,5,1
135,Tech,3.3,3.0,5.0,5.0,5.0,5,1
136,Sales,11.0,4.0,2.0,1.0,3.0,3,1
137,Sales,4.6,5.0,3.0,5.0,5.0,4,1
138,Sales,40.0,2.0,2.0,1.0,5.0,2,0
139,Tech,9.9,2.0,3.0,4.0,2.0,4,1
140,Sales,3.1,5.0,3.0,2.0,5.0,2,0
141,Operations,14.1,4.0,5.0,2.0,4.0,4,0
142,Sales,14.3,3.0,2.0,1.0,2.0,3,0
143,Operations,13.8,3.0,5.0,2.0,2.0,2,0
144,Operations,5.9,2.0,2.0,5.0,3.0,3,0
145,Operations,0.7,4.0,2.0,3.0,5.0,3,1
146,Tech,14.0,3.0,4.0,1.0,3.0,4,0
147,Tech,6.7,4.0,2.0,2.0,4.0,4,1
148,Tech,14.5,4.0,5.0,1.0,2.0,3,0
149,Sales,14.5,2.0,3.0,1.0,2.0,2,1
150,Operations,12.9,3.0,2.0,3.0,2.0,3,1
151,Tech,4.8,5.0,4.0,5.0,4.0,5,1
152,Tech,6.1,2.0,5.0,1.0,4.0,3,1
153,Sales,12.8,3.0,2.0,2.0,3.0,2,0
154,Tech,5.1,3.0,5.0,4.0,3.0,3,1
155,Sales,3.0,3.0,4.0,1.0,3.0,4,1
156,HR,8.6,3.0,4.0,1.0,5.0,3,1
157,Tech,14.1,3.0,5.0,3.0,2.0,3,0
