employee_id,department,hire_date,tenure_months,salary,performance_rating,remote_status
1000,Engineering,2020-07-25,29.23784494086728,87616.14740721948,4,Hybrid
1001,Engineering,2022-01-06,11.826544021024967,70228.55345602497,4,Hybrid
1002,Engineering,2020-07-14,29.59921156373193,70746.82798964728,3,Hybrid
1003,Engineering,2022-11-11,1.6754270696452036,71582.45289232778,3,Remote
1004,Engineering,2021-08-15,16.557161629434955,64267.53319498364,4,Hybrid
1005,Engineering,2022-05-27,7.194480946123521,84173.70998892911,3,Hybrid
1006,Engineering,2020-08-23,28.28515111695138,96475.08898253816,4,Hybrid
1007,Engineering,2021-11-10,13.699080157687254,77888.81677543353,5,Hybrid
1008,Engineering,2020-10-17,26.47831800262812,91147.88951772507,4,Onsite
1009,Engineering,2022-10-29,2.102496714848883,62943.5336547525,5,Remote
1010,Engineering,2020-02-11,34.65834428383705,58790.91044266276,4,Remote
1011,Engineering,2021-10-27,14.159001314060447,74163.25021989398,4,Onsite
1012,Engineering,2020-03-12,33.67279894875164,90536.99869993115,3,Remote
1013,Engineering,2020-02-20,34.36268068331143,82030.52421784955,5,Onsite
1014,Engineering,2021-12-30,12.056504599211562,114571.1950115457,5,Hybrid
1015,Engineering,2021-07-28,17.1484888304862,95524.77780526053,3,Onsite
1016,Engineering,2022-09-29,3.088042049934297,78806.94796289752,4,Remote
1017,Engineering,2021-04-19,20.43363994743758,75330.48634630411,4,Hybrid
1018,Engineering,2021-11-19,13.403416557161629,76352.51164843139,3,Onsite
1019,Engineering,2020-10-14,26.576872536136662,70107.8390752256,4,Remote
1020,Engineering,2021-10-22,14.323258869908015,97642.5851319969,4,Remote
1021,Engineering,2020-04-16,32.52299605781866,97962.45206814585,4,Onsite
1022,Engineering,2021-02-28,22.07621550591327,84880.9340826262,4,Hybrid
1023,Engineering,2021-11-05,13.863337713534822,102530.54849698953,4,Remote
1024,Engineering,2020-06-24,30.256241787122207,58178.74312112896,4,Onsite
1025,Engineering,2022-04-16,8.541392904073588,95097.37426009131,4,Hybrid
1026,Engineering,2020-01-08,35.775295663600524,81496.3074421473,4,Onsite
