date,department,hires,terminations,starting_headcount,ending_headcount,attrition_rate,growth_rate
2023-01-01,Engineering,0,0,45,45,0.0,0.0
2023-01-01,Sales,0,0,32,32,0.0,0.0
2023-01-01,Marketing,0,0,18,18,0.0,0.0
2023-01-01,Customer Success,0,0,22,22,0.0,0.0
2023-01-01,HR,0,0,8,8,0.0,0.0
2023-01-01,Finance,0,0,12,12,0.0,0.0
2023-01-01,Operations,0,0,15,15,0.0,0.0
2023-02-01,Engineering,0,0,45,45,0.0,0.0
2023-02-01,Sales,0,0,32,32,0.0,0.0
2023-02-01,Marketing,0,0,18,18,0.0,0.0
2023-02-01,Customer Success,0,0,22,22,0.0,0.0
2023-02-01,HR,1,0,8,9,0.0,0.125
2023-02-01,Finance,0,0,12,12,0.0,0.0
2023-02-01,Operations,0,0,15,15,0.0,0.0
2023-03-01,Engineering,0,0,45,45,0.0,0.0
2023-03-01,Sales,0,0,32,32,0.0,0.0
2023-03-01,Marketing,0,0,18,18,0.0,0.0
2023-03-01,Customer Success,0,0,22,22,0.0,0.0
2023-03-01,HR,0,0,8,8,0.0,0.0
2023-03-01,Finance,0,0,12,12,0.0,0.0
2023-03-01,Operations,0,0,15,15,0.0,0.0
2023-04-01,Engineering,0,0,45,45,0.0,0.0
2023-04-01,Sales,0,0,32,32,0.0,0.0
2023-04-01,Marketing,0,1,18,17,0.05555555555555555,0.0
2023-04-01,Customer Success,0,0,22,22,0.0,0.0
2023-04-01,HR,0,0,8,8,0.0,0.0
2023-04-01,Finance,0,1,12,11,0.08333333333333333,0.0
2023-04-01,Operations,0,0,15,15,0.0,0.0
2023-05-01,Engineering,0,1,45,44,0.022222222222222223,0.0
2023-05-01,Sales,0,1,32,31,0.03125,0.0
2023-05-01,Marketing,0,0,18,18,0.0,0.0
2023-05-01,Customer Success,0,0,22,22,0.0,0.0
2023-05-01,HR,0,0,8,8,0.0,0.0
2023-05-01,Finance,0,0,12,12,0.0,0.0
2023-05-01,Operations,0,0,15,15,0.0,0.0
2023-06-01,Engineering,0,0,45,45,0.0,0.0
2023-06-01,Sales,0,0,32,32,0.0,0.0
